,0,1,2,3
651,"15시간 하루 20분, 컬쳐 리스닝 픽업",잘 듣고 갑니다.,5점,2022.11.25
652,성호쌤과 함께하는 랜선 박물관 여행,"수학여행 때 학생 지도를 목적으로 연수를 수강하게 되었습니다.
박물관을 다양한 시각과 접근으로 학생지도에 도움이 많이 되었습니다.
유익한 연수 감사드립니다.",5점,2022.11.25
653,쉽게 배우고 활용하는 교실 속 손그림 그리기,평소 끄적끄적 낙서하는 것도 좋아하고 귀여운 그림을 그리는 것을 좋아했는데 자세한 설명과 함께 직접 그려볼 수 있는 준비물까지 주셔서 연수를 들으면서 연습삼아 그려보니 실력도 늘고 아이들이 이해를 잘 못할때 화이트보드칠판에 그림을 그려주면 너무 좋아하고 특히 개별 공책에 글쓰기 주제 일기를 쓸때 댓글로 글 남겨주면서 그림 한개씩 그렸줬더니 인기 짱 선생님이 되었습니다.,5점,2022.11.24
654,신병주 교수의 왕으로 산다는 것,"우리가 살면서 겪고 있는 일들은 조선시대에 살던 왕과 백성들도 똑같이 겪었다. 그것이 인간사이다. 부모에 대한 효, 서로 헤게모니를 선점하려고 벌어지는 암투, 왕이 펼치는 정책과 조세정책에 따라 울고 웃는 백성들 이런 모습들이 현재를 사는 우리와 매우 닮아 있음을 느꼈다. 역사를 통해서 우리는 간접경험을 했고 실수를 반복하지 않길 바라는 마음이다. 교수님의 설명이 귀에 쏙쏙 들어왔고 다시 한 번 복습하고 싶은 유익한 강의였다.",5점,2022.11.24
655,정훈쌤의 뚝딱 칼림바,"멋진 연주를 할 수 있는 기초를 튼튼히 해주는 연수입니다.
빠르기에 따른 연주법과 어울림이 좋은 연주법도 익힐 수 있었습니다. 추천합니다~",5점,2022.11.24
656,"하루 20분, 상황별 생활영어회화",실제 상황에 활용할 수 있는 회화를 역활극 형식으로 연습할 수 있어 좋았다. 실생활에서 자주 사용하는 어휘들이 있어 대화를 이해하는데 도움이 되었다.,5점,2022.11.24
657,세상에서 제일 쉬운 과학 이야기,"과학을 좋아하고 학교에서도 과학 수업을 하는지라...
재밌고 즐겁게 공부하였습니다!!",5점,2022.11.23
658,스토리텔링을 활용한 초등수학 수업,"매번 교과서대로 지루하게 수업만 하던 찰나에 본 연수를 들으면서 제 수학 수업을 되돌아 보게 되었고, 늦었지만 다양한 활동과 스토리텔링을 활용하여 수업을 진행해봤습니다. 현장 선생님들의 다양한 수업을 실제로 보면서 다양한 수업 방법을 보고, 따라해볼 수 있어서 참 좋았습니다. 감사합니다.",5점,2022.11.23
659,온작품 읽기와 그림을 활용한 깊이 있는 수업,온작품 읽기를 아이들과 하려니 막막했는데 본 연수가 수업의 방향을 잡는데 많은 도움이 되었습니다!,5점,2022.11.23
660,세상에서 제일 쉬운 과학 이야기,"연수 제목에 끌려서 연수를 듣게 된 중학교 과학교사입니다. 연수를 다 듣고 나서 든 생각은 ‘모든 과학 선생님들이 꼭 들었으면 좋겠다.’ 이었습니다. ‘과학’이라는 학문이 어떻게 발전했는지, 그리고 여러 과학 분야가 어떻게 생겼는지, 현대 과학의 기초가 무엇인지를 연수를 통해 알 수 있었습니다. 대학생 때도 듣지 못한 내용들이 많았는데, 정인경 선생님이 이해하기 쉽게 잘 설명해주셔서 너무 좋았습니다.
역사를 공부할 때 흐름을 알아야 한다는 이야기를 많이 들었습니다. 과학도 역사가 있다는 것을 알게 되었고, 과학 역사의 흐름을 안다면 여러 교과 개념을 설명할 때 깊이 있는 설명이 가능할 것입니다. 학생들에게도 단순히 과학 지식을 알려주는 것을 넘어서 관련된 과학 역사를 소개해 준다면 학생들의 집중도와 흥미도 높아질 것입니다.
정인경 선생님의 연수가 많은데 다른 연수들도 꼭 듣고 싶어지네요!
과학 선생님뿐만 아니라 과학에 관심이 있는 모든 선생님들에게 연수를 추천합니다!",5점,2022.11.23
661,"학급경영, 수업, 업무 - 노션으로 한 방에 해결하기","굉장히 도움이 되었습니다.

하나 하나 숙달하기에 조금 시간이 걸리지만, 그 수고를 온전히 보답받을 수 있는 강의였습니다.

자료를 분류하고 주제에 따라 편리하게 볼 수 있는 도구가 필요했는데 노션이 그 역할을 톡톡히 해주네요.

고맙습니다.",5점,2022.11.23
662,학생들과 함께 나누는 기후변화 이야기,"인문학 강의에 흥미는 없었지만, 뭔가 있어 보이는 느낌에 연수를 신청했습니다. 모두 흔히 아는 내용에 대한 이야기일 줄 알았지만 아니었습니다. '길'에 대한 의미와 탄생에서부터 길과 경제, 길과 환경에 대한 이야기까지 매우 다채롭고 흥미로운 연수였습니다. 지식이 풍부해진 기분~",5점,2022.11.22
663,"학급경영, 수업, 업무 - 노션으로 한 방에 해결하기",노션을 알게 된 것 많으로도 혁신 인 것 같아요 이연수 꼭 들으시는 것 추천드립니다 노션을 알기 전과 알고 난 후의 교직생활 편함이 다르네용~ 감사해용,5점,2022.11.22
664,"이구동성, 마음을 다루는 미술활동","미술 시간에 교과서에 나온 활동 이외에 연수를 통해 알게 된 다양한 미술 활동을 이용하여 더욱 풍성한 미술 시간이 될 것 같습니다
도움이 많이 되었습니다",5점,2022.11.22
665,재테크보다 중요한 나만의 재무설계,"재테크에 대해 전혀 관심이 없고, 아는 것도 없는 재린이(재테크 어린이)입니다. 옆자리 선생님이 추천해주셔서 듣게 되었는데, 조금 더 일찍 알았으면 좋았을 연수였습니다! 임용 후에 결혼, 출산, 양육으로 정신없이 지내왔는데, 미리 재무설계에 대해 알고 있었다면 지금보다 더 윤택한 삶을 살고 있지 않을까 생각이 드네요! 하지만 지금도 늦지 않았다는 생각으로 재무설계를 하고 있습니다~ 재무설계 하실 때 혼자보다는 부부, 부모님, 친구 등 같이 할 사람이 있으면 좋은 것 같습니다~ 그런 의미에서 주위 선생님들에게 많이 추천해주세요~ 정말 추천드리고 싶고, 재테크와 관련된 연수도 추가 되었으면 정말 좋겠습니다~",5점,2022.11.22
666,같이 읽고 함께 나누는 독서수업방법,"학급에서 독서교육을 올해 본격적으로 시작해보니 많은 문제점이 있는 것 같아서 도움을 받고자 연수를 신청하게 되었습니다.
발문의 방법과 시기, 독서 전,중,후 활동들의 대한 아이디어, 자신의 내면의 이야기를 펼치는 책만들기까지 궁금한 점이 많았습니다. 그러한 내용들이 차시별로 잘 설명되어 있어서 좋았습니다.
독서교육을 하면서 생길 수 있는 문제점 등 유의해야할 사항까지 알려주는 연수라 1.2배속 돌리지 않고 다시보기를 하며 연수를 수강하였습니다.
독서교육에 조금이라도 관심 있다면 무조건 추천합니다.",5점,2022.11.21
667,"행복한 학급 만들기, 학생과 교사 자존감 수업","요즘 교권이 날이 다르게 추락하고 있고, 교사들간의 세대 차이로 많이 힘들어하고 있던 나에게 자존감이란 무엇인가부터 어떻게 하면 자존감을 높일수 있는지 많은 좋은 방법을 알게 되었습니다. 감사합니다^^",5점,2022.11.21
668,30시간 메이슨의 Travel English,언젠가 여행을 갈 날을 대비하며 열심히 외우며 들었습니다.,5점,2022.11.21
669,"행복한 학급 만들기, 학생과 교사 자존감 수업","30차시라는 긴 여정을 통해 관계라는 부분을 되돌아보게 되었습니다.
학생과, 학부모와,, 동료와...
결론은 정해진 답과 경로는 없지만, 바로 자신 '나'의 길을 바르게 설정한다면
좋은 관계를 유지할 수 있다는 결론을 얻게 되었습니다.
그 시작이 바로 '자존감'이겠죠!!",5점,2022.11.21
670,나도 할 수 있다! 현장연구와 SPSS,"각 과목별로 설명이 되어 있어 좋습니다!!
대회 준비를 위해 사전 보고서를 연구하고 분석하여
본인이 하고 싶은 연구의 주제를 찾는데 도움이 많이 됩니다! 내년엔 제가 수상자로 연수하고 싶네요^^",4점,2022.11.21
671,독립운동 현장읽기 - 구국계몽운동,"이수하지 못해 아쉬웠지만, 다음에 기회되면 다시 듣고 싶은 연수!!! 이 연수는 시간여유를 가지고 들을 수 있을 때 신청하면 좋을 것 같아요!",5점,2022.11.21
672,기후변화 이야기,"STEAM 융합수업을 자주하는 수학교사입니다.
수업 소재를 찾는데 아주 도움이 되는 수업이었습니다.
교재도 재미있고 쉽게 읽을 수 있었고 연수도 쉽게 잘 설명해주셔서 정말 좋았습니다!!",5점,2022.11.21
673,기후변화 이야기,과학적인 내용의 이론 부분을 자세하게 알 수 있어서 좋았습니다.,5점,2022.11.21
674,성호쌤과 함께하는 랜선 박물관 여행,랜선 박물관 여행을 통해 다양한 박물관의 역사와 수업 활용팁까지 많은 것을 배워갈 수 있는 연수였습니다. 부담스럽지 않고 물흐르듯 자연스럽고 편안하게 이야기 형식으로 풀어나가 주셔서 시간가는줄 모르고 들었던 것 같아요 감사합니다.,5점,2022.11.21
675,왕초보를 위한 캘리그래피,아름다운 글씨와 글 쓰기. 나의 마음의 평화를 위해서도 한번쯤 들어볼만한 연수입니다. 교실에서 캘리그라피 지도하려면 어떻게 해야되지? 고민되지요. 그 때 도움 받을 수 있어요. 여러가지 생활소품에 캘리그라피가 더해져 작품의 심미성을 높일 수 있어요.,5점,2022.11.21
676,"김준우의 톡(Talk)톡(Talk)한국사, 한국사능력검정시험-근현대사",6학년 사회 1학기에 우리나라의 근현대사가 나옵니다. 5-6학년 고학년 선생님이시라면 이 강의를 통해서 많은걸 학습하실 수 있어요. 교과서에 나와있는 최소한의 기본지식으로는 학생들의 배경지식을 넓혀주는데 한계가 있지요. 강의를 통해 나의 배경지식을 넓히는데 도움이 되요. 추천합니다.,5점,2022.11.21
677,강의의 품격,"우리가 하는 수업도 크게 봐서는 강의라고 할 수 있죠. 나에게 수업을 1년 꼬박 듣는 우리 학생들을 위해, 또 나 자신의 자기계발을 위해 한번쯤 들어야 하는 강의입니다. 나의 수업의 질과 품격을 높이기 위한 강의의 기술 학습할 수 있어요. 추천합니다.",5점,2022.11.21
678,"하루 20분, 상황별 생활영어회화 2",영어교과전담 아니면 영어 사용할 기회가 많지 않죠. 그러면서 다 잊어버립니다. 하지만 영어 안가르친다고 영어 쓰지 않는건 아니잖아요. 어느 순간 아이들이 나보다 영어회화 잘 하는거 같은 느낌일 때가 있어요. 노력하기 위해 강의 들었고 유용했습니다. 추천합니다.,5점,2022.11.21
679,교과서 속 세계문화유산,"교과서 속 세계유산은 우리나라 유명 문화재를 중심으로 학습할 수 있습니다. 석굴암, 부여 문화유산, 제주, 수원화성, 조선의 왕릉 등 세계적으로도 유명한 문화유산을 중심으로 해설을 해주셔서 사회교과서 송의 중요한 문화재들을 쭉 훑는 느낌이에요. 편안하고 알찬 강의 추천합니다.",5점,2022.11.21
680,지리와 함께하는 인문학 티타임,내가 알고 있는 인문학에 대한 깊은 지식을 아주 편하게 들었어요.,5점,2022.11.21
681,정훈쌤의 뚝딱 칼림바,전부터 배워봐야지 마음만 먹고 있던 차에 신청해서 듣게 되었습니다. 코로나 때문에 마스크 착용이 생활화되면서 교실에서 연주할 수 있는 악기가 한정적인데 입으로 불지 않는 악기라서 연주하기 좋습니다. 연주가 쉬워서 금방 익힐 수 있고 음색 너무 곱습니다. 사은품으로 받은 칼림바까지 제공받아서 부담없이 들을 수 있었어요. 내년에는 예쁜 칼림바 음색으로 즐거운 학급운영을 할 수 있을 것 같아요. 감사합니다.,5점,2022.11.21
682,나도 할 수 있다! 현장연구와 SPSS,"SPSS 돌리는 방법을 알 수 있어서 너무 좋았습니다.
그리고 다양한 통계분석 방법도 배울수가 있었고요.
카이자승, t검정 등 다양한 분석 방법을 배울 수 있어서 좋았습니다.

현장연구 뿐 아니라 논문 준비하실 때도 도움이 될 것 같아요^^",5점,2022.11.19
683,"30시간 나이와 신분을 초월한 독립운동, 그 현장을 읽다",근현대사에 대해 자세히 알게 되는 계기가 되었습니다.,5점,2022.11.19
684,정훈쌤의 뚝딱 칼림바,"한창 핫해지고 있는 칼림바. 악기 가격도 부담이 되지 않고 아이들뿐만이 아니라 어른들도 SNS에서 자주 활용하는 것이 심심치 않게 보인다. 휴대성도 높아 한번 배우면 두고두고 잘 써먹을 것같아 강의를 신청하게 되었다. 정훈쌤이 조곤조곤 단계별로 잘 알려주셔서 그런지 악기에 대한 이해부터 응용된 연주법까지 막힘없이 술술 배울 수 있었다. 악보 프로그램 활용법을 알려주는게 다른 강의와의 큰 차이점인데, 악보를 이제 직접 제작할 수 있어 아이들에게 제공할 유인물을 만들 때 아주 잘 이용할 것이다. 정훈쌤, 감사합니다:)",5점,2022.11.18
685,재테크보다 중요한 나만의 재무설계,"초등학교에서 근무를 시작한지 어언 3년, 제대로 된 자산 관리를 시작하고자 '재테크보다 중요한 나만의 재무설계'를 수강하게 되었습니다. 모호하게 알고만 있던 개념을 바로 잡아주고 어떤 마음가짐으로 재무설계에 임해야하는지 차근차근 단계별로 배울 수 있어 의미 있는 시간을 보낼 수 있었습니다. 원론적인 얘기만 하는 것이 아니라 실제로 삶의 적용을 어떻게 할지 제시해주는 점이 좋았습니다. 저와 같은 저경력 교사뿐만이 아니라 재무 설계에 대한 이해가 필요한 부장 교사, 관리자도 들었을 때 유익한 시간을 보낼 수 있습니다. 유용한 강의를 제작해주어 감사합니다 :)",5점,2022.11.18
686,"이구동성, 마음을 다루는 미술활동","수 많은 연수를 들었지만 이번 연수는 수강자도 힐링되는 연수였습니다. 매 차시 아이들과 함께 수업 하고 싶어지는 아이디어를 제공했구요.
모든 활동이 학생들의 감성을 다루고 교감할 수 있는 활동으로 구성되어져 있었습니다.
학생들과 수업자 모두 부담없이 할 수 있으며 특별한 준비물이 필요하지 않은 수업이 대부분이여서 현실성있고 유익했습니다.
연수를 진행하는 미술치료사 분의 목소리 억양 진행 속도도 좋았습니다.
주변 사람들에게 이 연수를 권유하고 싶어요!
사계절에 맞춰 활동할 수 있는 내용도 있어요
가을의 끝자락이네요
학생들과 함께 여기서 알게된 활동을 활용하여 수업구상하러 저는 이만 글을 줄일께요. ^^",5점,2022.11.18
687,그림검사와 다양한 기법으로 만나는 미술치료,"우리 아이들의 교실 속 생활 모습을 마주하면서 코로나19는 우리 일상에 많은 변화를 가져왔고, 교실 속에서의 생활 모습도 지금보다 불편한 쪽으로 바꿔놓았다. 그림과 만들기 등 여러가지 미술 활동을 통해 또래와 함께 배우고 어울려 살아가는 방법을 배울 수 있었으면 좋겠다. 매년 3월이 되면 새로운 아이들을 만나고 평화로운 학급을 만들기 위해 어떻게 학급 운영을 하면 좋을까 고민이 많았다.여러 명의 친구들이 함께 어울려 지내다 보면 갈등이 생기기 마련이다. 이 과정에서 즐겁게 어울려 친구들과 서로 존중하고 배려하면서 지내는 방법은 무엇이 좋을까, 아이들의 마음을 어떻게 들여다보고 달래줄까 전전긍긍하면서 지낸 시간이 이 연수를 통해 좋은 해결책을 얻은 것 같다. 다양한 방법으로 교실에서 활동하고 함께 알아가는 시간을 가질 수 있는 그림으로 대화하는 방법들이 소개되어 지금도 아이들의 마음 알아보기에 잘 활용하고 있지만 내년에도 맡을 아이들이 기대된다. 우리 아이들을 이해하고 배려와 존중이 늘 함께하는 다정하고 친절한 선생님이고 싶다. 이 바램이 마음을 들여다보고 치유해 주는 그림과 미술치료가 큰 도움이 될 것이다. 좋은 연수 기회를 주셔서 고맙습니다.",5점,2022.11.18
688,7인의 전문의와 함께하는 메디컬 콘서트,"가족의 건강을 되돌아보고 지킬 수 있는 멋진 콘서트였습니다.
최근 아버지의 건강이 많이 나빠져 연수를 듣게 되었는데 인생에 그 무엇보다도 중요한 것이 건강이 아닌가 하는 생각을 다시 한 번 해보았습니다. 늘 건강하시기만 할 줄 알았던 분이 한 순간에 기력을 잃으시는 모습을 보고 평소 건강을 잘 챙겨야겠다는 생각을 하던 찰나에 좋은 연수가 있어 수강했는데 그 어느 연수보다 유익한 시간이었습니다.
전문가 분들의 멋진 강연에 다시 한 번 감사드리며, 연수원에 들어오시는 모든 분들 건강하시기를 바랍니다. 감사합니다.",5점,2022.11.17
689,"나이와 신분을 초월한 독립운동, 그 현장을 읽다","역사는 늘 어려운 부분 같다.
특히 의견들이 분분한 독립운동에 대한 부분은 단순히 애국자와 매국노 이렇게만 구분지어 객관식시험에서 간단한 업적으로 문제풀이했던 기억이 난다.
학창시절 이름만 들어보았던 독립운동가들의 이야기들을 선생님들의 자세한 설명을 통해 조금 더 잘 이해할 수 있었던 거 같다.
모든 독립운동가가 사회주의자는 아니었지만, 대부분의 독립운동가는 사회주의 운동가였다.
대표적인 사회주의 운동가인 김원봉 (오른쪽 맨 하단) 아무쪼록 나는 이 글에서 사회주의 독립운동가에대한 나의 생각을 이야기해보았다.
우리가 사회를 하나의 기준을 두고 생각하면 인식의 폭이 너무나 좁아진다 이런 맥락에서 꽤 많은 사회주의계 민족독립운동가에대한 인식이 부디 재고되었으면 하는 바램이다.

최근 독립운동가들이 정부로 부터 탄압을 받고 대부분은 재산몰수 등에 가족들이 어렵게 사셨던 분들께 집을 지어주고 도와주는 프로젝트를 본적이 있다.
기회가 되다면 연수도 들었고, 그분들을 위해 좋은 일을 함께 해보고 싶다.",5점,2022.11.17
690,"학급경영, 수업, 업무 - 노션으로 한 방에 해결하기","새롭고 혁신적인 학급 경영에 도전하고자 연수를 신청했습니다.
아직 저에게 익숙해지려면 조금 시간이 걸릴 것 같지만 새로운 세상을 만난 것 같은 느낌이네요~
다른 선생님들께도 도움이 되었으면 좋겠습니다.",5점,2022.11.17
691,저자가 알려주는 수학 교과서 100% 활용하기 (초등 3~4학년),천재교과서로 수업을 하는데 필요한 부분과 궁금증이 있던 부분을 잘 알려주셔서 도움이 많이 되었어요.,5점,2022.11.17
692,초등학생 탐구생활,"어쩜 이렇게 다 우리반 이야기, 내 이야기 같은 사례들이 모여있을까요?
나만 힘들어하는 게 아니였구나 다른 선생님들도 이런 문제 상황에 놓이는구나를 느꼈어요.
그러면서 대처 방안도 배우게 되고, 스스로를 반성도 하게 되었습니다.
다양한 학생들을 만나다보니 늘 새롭고 또 생소한 것이 학교 생활 같습니다.
초등학생 탐구생활 연수를 통해 우리 아이들 입장도 이해하고 저도 스스로를 되돌아 보는 시간이 될 수 있어서 유익했습니다.
아이들에게 상처 받은 마음 힐링하고 다시 그 아이들의 소중한 마음을 들여다보는 진짜 어른이 되어주어야겠다 다짐합니다.
이론 수업 말고 진짜 교직생활에 도움이 되는 연수 해주셔서 감사합니다~!!!^^",5점,2022.11.17
693,"기후 변화 이야기, 교실에 오다",기후변화 교육의 중요성을 알고 있지만 학생들과 이야기 나눌때 도움이 되는 연수 였어요. 아쉬운점은 교재가 너무 요약되어 있어서 나중에 복습 기간이 끝나면 기억하기 힘들듯 합니다.,4점,2022.11.17
694,"행복한 학급 만들기, 학생과 교사 자존감 수업",긍정의 힘을 믿으며 긍정심리학을 나 자신과 우리 학생들에게 적용하고 싶어요. 연수내용은 좋은데 교재가 너무 요약되어서 나중에 다시 활용하기는 조금 힘들것 같아 많이 아쉽네요,4점,2022.11.17
695,기후변화 이야기,기후변화 관련한 내용은 생태전환교육에서 다루는 얕은 지식정도만 알고 있었는데 이 연수에서는 이지유 작가를 통해 기후변화에 대한 좀 더 심도있는 내용을 배울 수 있었습니다. 기후변화에 대한 모든 내용을 각 주제별로 잘 다루고 있어 평소에 가지고 있던 오개념들도 연수를 통해 바로잡을 수 있었습니다.,5점,2022.11.17
696,메디컬 콘서트 1탄 - 현대인의 만성 질병,"건강에 대한 기본 상식이 많이 부족했다는 생각을 합니다.
들으면서 어 그랬구나 공감하면서 들었는데
문제 풀려고 하니 어려웠습니다.
이번 연수를 통해 건강 상식을 알게 되었습니다.
감사합니다.",5점,2022.11.16
697,손그림과 파워포인트로 교실 속 콘텐츠 만들기,재미있는 수업을 만드는 좋은 연수였습니다. 조금씩 도입해 보면서 즐겁고 유쾌한 수업 만들어 가고 싶네요,5점,2022.11.16
698,교과수업에 활용하는 진로교육,막연하게 느껴졌던 진로 수업에 큰 도움을 얻었습니다. 교실에서 활용하여 학생들에게 좋은 영향을 주고 싶네요,5점,2022.11.16
699,초등학생 탐구생활,"연수를 듣고나서, 나만 그런 것이 아니구나. 아 이럴 땐 이렇게 대처하는 것이 현명하겠구나. 등등 느끼고 배운 점이 많습니다. 초등학생 탐구생활 연수 강추합니다. ㅎㅎ",5점,2022.11.16
700,독립운동 현장읽기 - 의병전쟁,그렇지 아니하다. 그대들의 피가 흐르는 우리들 또한 이 시대의 의병이다. 잊지 않겠습니다. 좋은 기회를 주신 연수원에 감사의 인사를 전합니다.,5점,2022.11.16
701,15시간 독립운동 현장읽기 - 의병전쟁,잘모르던 의병활동에 대해 알게되었습니다. 감사합니다.,5점,2022.11.15
702,"상상을 실천으로, 삶을 바꾸는 사회 수업 이야기","3학년 학생들은 사회라는 과목을 처음 배웁니다. 최대한 쉽게, 최대한 실물과 가깝게 하려고 해도 일단 용어부터 낯설어합니다. 그래서 어떻게 지도해야할지 고민하다가 연수원에서 좋은 연수를 하나 알아갑니다. 이제부터라도 더 쉬운 사회 과목으로 바꾸어보겠습니다.",5점,2022.11.15
703,English Grammar in Use,"전화영어를 하면서 영어 회화를 놓치지 않으려 애썼던 1인입니다. 그러나 문법이 명확하지 않아 말하는 자신감이 없어지고 문장이 자꾸 막히기 시작했습니다. 물론 회화는 문법이 중심이 아니라 틀려도 괜찮기는 합니다... 만 기본기를 다시 닦고 회화를 하는 것이 제 기준에 부합한다고 생각했어요. 굉장히 자세히 시제관련 문법과 중요한 부분을 배울 수 있는 시간이었고, 복습을 1년간 할 수 있다는 것을 알고 연수를 신청했습니다. 이번 연수는연수원에서 제공되는 자료로 공부를 했지만 복습할 때는 교재를 사서 해 볼 생각합니다.",4점,2022.11.15
704,인성교육 연구보고서 작성법,"인성교육보고서 작성 꿀팁이 들어가있어요.
보고서 처음 썼는데 많은 도움이 되었네요.
강의 내용 바탕으로 내년에도 도전해 보려구요.
인성교육 연구대회 도전하시는 선생님들께 많은 도움이 될 것 같습니다. 모두 화이팅!!",5점,2022.11.15
705,당장 따라 할 수 있는 사계절 학급운영+이벤트,"학급운영을 어떻게 하면 좋은지 알려주는 등대같은 연수에요.
시기별로 하면 좋은 활동들이 가득있어요
학기초에 하면 좋은 활동들이 학생, 학부모와의 만남에 큰 도움이 됩니다.",5점,2022.11.15
706,독립운동 현장읽기 - 의병전쟁,"3학년인 우리 반 학생들. 역사는 아직잘 모른다. 그런데도 가끔 이야기를 하다 보면 필수로 역사 지식이 필요할 때가 있다. 그럴 때 이용하려고 연수 신청을 해서 들었다. 다행히 길지 않은 시간동안 많은 이야기들을 축척해서 보여주느라 바쁜 시간동안 아주 유용하게 잘 들을 수 있었다. 3학년이 벌써 역사를?? 이라고 하지만 ,,, 책벌레인 학생들은 이미 역사를 다 꿰고 있어서,,, 거짓으로 얼버무릴 수 없다. ㅠ.ㅠ",5점,2022.11.14
707,수업이 즐거워지는 과학 교과서 활용 꿀팁 (초등 3~4학년),"검인정교과서로 바뀐 이후 1학기는 변화에 적응하는 것이었습니다. 1학기를 그렇게 좌충우돌하며 지내다 보니 이건 아니다 싶었는데,,, 이 연수를 너무 늦게 알아버렸어요 ㅠ.ㅠ 내년에 어떤 학년을 하든 미리 연수를 듣고 시작하려고 합니다. 아주 도움이 되었어요!",5점,2022.11.14
708,통통한 과학이야기 2,강사 선생님께서 목소리가 좀 작으신 편이었는데 그럼 마이크를 통해서 소리를 좀 키워서 전달력을 높이고 자막을 달았어도 좋았을 것 같습니다.,3점,2022.11.14
709,교사를 위한 교실 밖 여행인문학,"여행을 좋아하는 한 사람으로서 제목을 보고 시작한 연수~!!
전국에 가볼만한 곳의 위치,인구,볼거리,먹거리를 알려주는 내용이 좋았다.길따라 강따라 특히 먹거리르 따라 여행해보고 싶다.",5점,2022.11.14
710,English Grammar in Use 2,"쉽게 넘어가버렸던 잊어버렸던 다양한 문법들, 예시들.
선생님의 시원시원한 발성 덕에 귀에 더 잘 들어오더라구요.
오랜만에 문법 공부 재미나게 했습니다.",5점,2022.11.14
711,한 번에 끝내는 법정연수 1,"한 해 한 해 쌓여만가는 법정의무연수.
나는 다른 궁금한 것들이 많은데, 언제 다듣지 생각했어요.
그 때 제게 큰 도움을 주었던 연수입니다.
필수 연수가 한 강좌에 모여있으니 여러개듣지 않아도 되어서
정말 편했고,

교육청에서 하는 연수보다 더 재미있고 속도감 있었어요.
내년에도 또 들을 생각입니다!^^
좋은 연수 만들어주셔서 감사해요",4점,2022.11.14
712,"이구동성, 마음을 다루는 미술활동",매년 학급에 미술 치료로 접근해 보고 싶은 학생들을 만나다보니 학생의 마음 속을 들여다 볼 수도 없는 노릇이어서 도움이 될 수 있는 방법을 찾다가 김소연 선생님의 그림 검사와 다양한 기법으로 만나는 미술 치료와 이구동성 마음을 다루는 미술 활동을 듣고 나니 마음 속의 갈등이나 요구 사항이 그림으로 나타내는 학생에게 적용해 보니 그 학생의 심리를 이해하고 도움이 되는 활동을 준비하여 도화지 위에 마음 껏 표현할 수 있는 기회를 제공해 보니 행동에도 변화가 있었다. 현장에 적용하기에 좋은 유익힌 연수였습니다.,5점,2022.11.14
713,저자가 알려주는 수학 교과서 100% 활용하기 (초등 3~4학년),"정말 실제 수업에서 적용하기 좋은 수학 수업과 방법들을 다양하게 알려주셔서 너무 좋았고
실제 수업을 해보니 기초수해력 미도달 학생에게도 많은 도움이 된 거 같아요!",5점,2022.11.14
714,쉽게 배우고 활용하는 교실 속 손그림 그리기,"이 강좌를 신청하기 전 2학점 연수를 신청할까, 1학점짜리 이 연수를 신청할까 많이 고민했다. 컴퓨터와 살짝 거리가 있는 나는 그림판을 이용까지는 무리일 것 같아 1학점짜리 이 연수를 신청했다.
연수를 듣는 도중 열심히 연습장에 손그림을 그리는 내 모습을 보며 아이들은 ""아~ 귀여워요!""라고 관심을 보였고, 손재주가 없는 나도 조금씩 자신감을 갖게 되었다.
손그림은 미술 뿐 아니라 사회 시간, 국어 시간에 종종 사용하였다. 자신있게 동작 그림도 하고 싶었지만.. 좀 더 연습이 필요할 것 같다.
그림을 그리니 아이들 반응도 좋고, 내 자신도 자신감이 생겨 수업의 또 다른 장르를 열게 된 것 같다. 연수 밖의 여러 그림도 등록되면 좋을 것 같다.",5점,2022.11.14
715,학생 자존감 수업,"이 연수를 통해 학생들을 보다 더 이해하며 존중하고, 자존감을 더 높일 수 있는 수업을 해야겠다는 생각을 하게 되었습니다. 학교 생활에 있어 아이들과 교사에게 많은 도움이 되고 유익한 연수였습니다.",5점,2022.11.14
716,초등학생 탐구생활,"먼저는 학교일로바쁘다보니 기한내에못들엇어요 ㅜ
허걱
그런데 다시재수강해서들을수잇는방법을알려주셧고 그래서다시듣게되엇어요
학교에서지원받는 연수비로듣는거라 이수증도필요햇고 . 필수이수해야햇거든요.
그래서 꼼꼼히듣게되엇는데. 초등학생들의 이해에도움이많이되었습니다.
특히남자아이들심리나 고학년과의관계까지요
좋았어요",5점,2022.11.14
717,정훈쌤의 뚝딱 칼림바,"코로나로 집콕하던 시절, 집에서도 쉽게 배울 수 있는 악기라고 해서 칼림바를 덜컥 사놓고 방치만 해두고 있었어요~ 이번 연수를 기회로 방치만 해놓던 칼림바를 직접 연주도 해보고 많은 것을 배울 수 있어서 좋았습니다^^",5점,2022.11.14
