,연수명,내용,별점,등록일
1463,Talk Talk(똑똑)한 금융교육,"금융교육 관련하여 선택과목도 확대된다고 하는데...이에 발 맞출 수 있는 연수입니다.
다만 초등교육에 맞춰진 연수 같은 느낌이라... 이점은 좀 아쉬웠어요..

조금 더 심도 깊은 비슷한 연수가 있길 바래봅니다.",rate5,2022.09.14
1464,참쌤의 비주얼씽킹 끝판왕,"자칫 밋밋해질 수 있는 수업을 근사한 수업으로 탈 바꿀 수 있도록 아이디어를 제공하는 연수입니다.
유용한 연수예요~~",rate5,2022.09.14
1465,핵심만 콕! 수업에 바로 쓰는 메타버스,"메타버스
맨날 말만 듣다 연수를 들어보니 조금은 알듯 합니다.",rate5,2022.09.14
1466,"기초학력의 첫걸음, 한글교육",선생님이 평소 아이들을 지도하시면서 쌓아오신 내공을 아낌없이 공유해주셔서 감사합니다. 이제는 직접 가르치지는 않지만 한글해득이 어려운 학생을 맡아 꾸준히 지도하고 있는데 도움이 많이 되었습니다. 유익한 연수 감사합니다.,rate5,2022.09.14
1467,조병영의 문해력 수업,"이 연수를 들으면서 그동안 알고 있었던 문해력에 대한 개념 이해가 얼마나 까막눈이었는지를 알게 되었고, 오랜 시간 연구를 많이 해오신 교수님의 깊이 있고 탁월한 전문지식의 내용을 들으면서 문해력에 대한 많은 내용들을 새롭게 알게 되었습니다. 문해력의 중요성을 다시 한번 느끼게 해 준 유익한 연수였고 아이들의 문해력을 길러주기 위해서는 먼저 교사로서 이 사회가 요구하는 문해력을 잘 갖춰야겠다는 책임감을 느꼈습니다. 문해력 향상을 위한 팁들을 다시 한번 복습하면서 교실에서 적용해 보도록 해 보겠습니다. 그러다 보면 문해력을 잘 지도할 수 있는 교수 기술이 조금은 생기리라 기대해봅니다.",rate5,2022.09.13
1468,정재승의 미래학교,"재미있는 상식과 지식이 가득한 강의에요
정재승교수님의 수업은 늘 옳습니다!",rate5,2022.09.13
1469,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 학습지도,"1학년 학습에서 꼭 짚고 넘어가야 할 내용들을 꼼꼼하게 정리해주셨습니다
1학년 처음인 선생님들께 강력 추천합니다",rate5,2022.09.13
1470,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 생활지도,"1학년에서 월별로 해야 할 일들을 시기순서대로 정리해주시니 아주 유용했습니다
1학년 처음인 선생님들께 강력 추천합니다",rate5,2022.09.13
1471,정재승의 미래학교,"좋은 강의 열어주셔서 감사합니다.
너무 좋았는데... 미래교육에 관련된 사례를 현장 사례에 맞게 좀 더 구체적으로 들어 주었으면 더 좋겠습니다.~^&^",rate5,2022.09.13
1472,온라인-오프라인 연계 수업 따라잡기,과목별로 수업을 어떻게 진행했는지 구체적인 상황을 보여주시고 예시를 설명해주셔서 수업 만드는데 도움이 많이 되었습니다. 열심히 연구해서 저도 저만의 수업을 소개할 수 있도록 노력해보겠습니다.!!,rate5,2022.09.13
1473,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 학습지도,1학년 학습지도에서 중요한 내용을 연수해주셔서 유익했습니다.,rate5,2022.09.13
1474,읽고 쓰고 만드는 그림책 수업,자료도 풍부하고 내용도 알찹니다.,rate5,2022.09.13
1475,디지털 네이티브 아이들의 메타버스 세상,"디지털 네이티브 아이들의 메타버스 세상에 대해 이해하는 시간이 되어 좋았습니다.
빠르게 변하는 세대를 못 쫓아가서 슬프긴 하지만요.
교육에 어떻게 연계 할지 고민을 많이 해야 할 것 같아요.",rate5,2022.09.13
1476,뚝딱뚝딱 온앤오프 수업자료 만들기,코로나 이후 온앤오프 수업이 필수인 교육 흐름에 맞는 유익한 연수였습니다,rate5,2022.09.13
1477,쏭내관과 함께하는 랜선궁궐기행2,"조선 역사를 궁궐을 중심으로 생생하게 알게 되어 굉장히 재미있는 시간이었습니다. 역사의 현장에 서 있는 기분이 듭니다. 강의를 듣고, 책을 읽으며 600년 동안의 시간 여행을 떠나는 느낌입니다.",rate5,2022.09.12
1478,실전! 창의 수업 전략,만족도 높은 연수였습니다. 추천합니다~!^^,rate5,2022.09.12
1479,"민주시민의 길, 평화와 통일교육",민주시민의 길 평화와 통일교육을 통해 민주시민이 가져아할 자세와 통일 교육의 중요성을 알게 되는 좋은 연수 였습니다. 감사합니다.,rate5,2022.09.12
1480,정재승의 미래학교,정재승의 미래학교를 통해 미래의 교사가 학생들을 위해 어떻게 해야 하는게 좋을지 생각해 보는 좋은 연수 였습니다. 감사합니다.,rate5,2022.09.12
1481,"기초학력의 첫걸음, 한글교육",먼저 이 연수를 들으면 도움이 많이 됩니다!,rate5,2022.09.12
1482,조병영의 문해력 수업,문해력의 중요성을 다시 한 번 생각해 본 좋은 연수입니다.,rate5,2022.09.12
1483,핵심만 콕! 수업에 바로 쓰는 메타버스,메타버스에 대한 이야기는 많이 들었는데 실제로 경험해 보니 학생들에게 유용하게 쓰일 수 있을 것 같아 배움에 보람을 느낍니다. 수업에 어떻게 적용할 것인지가 과제로 남는 연수였습니다. 초등학교 선생님들께서 첨단의 기술을 자유롭게 활용하시는 걸 보니 교사 간 세대 차이도 느꼈습니다.,rate5,2022.09.11
1484,조병영의 문해력 수업,"문해력의 총집편이라도 할 수 있는 이번 연수를 들으면서
문해력 수업이 국어과만의 책임처럼 인식되는 문화가 달라져야 하며
학교 수업의 모든 과정에서 체계적으로 다뤄져야 할 것이고
사회로 나가기 전 학령기 어린이, 청소년이 꼭 지녀야 할 소양이자 역량임에 중요성을 느꼈다.
우선 나부터 문해력을 가진 교사가 되어야지!",rate5,2022.09.11
1485,놀이와 질문이 함께하는 감동의 그림책 수업,"그림책이 학생들에게 좀 더 다가가기 싶고
큰 울림을 줄 수 있다는 것을 알게 되었습니다.


연수에서 배운 그림책을 활용하는 방법을 실제 수업에서도 적용해 나간다면
학생들의 배움과 주도성이 더 길러질 것이라 생각합니다.",rate5,2022.09.10
1486,"학습격차, 차이를 넘어 함께 성장하기","교실에 다양한 학습 격차가 있는 학생들이 있어 고민이 있었는데
조금 학생들에게 어떻게 접근하면 좋을 지 아이디어를 얻게 되는 좋은 연수였습니다.",rate5,2022.09.10
1487,조병영의 문해력 수업,문해력 이해를 위한 유익한 연수였습니다.,rate5,2022.09.08
1488,꿈과 자존감이 자라는 교실 속 직업놀이 진로교육,아이들의 자존감을 키워줄 수 있는 방법들을 고민하고 있었는데 좋은 연수를 통해 잘 배웠습니다.,rate5,2022.09.08
1489,읽고 쓰고 만드는 그림책 수업,마음이 따뜻해지는 시간이었습니다. 좋아요.,rate5,2022.09.07
1490,정재승의 미래학교,"차분하게 정확하게 설명해주셔서 미래의 수업방향과 여러 사회적 상황에 대해 잘 설명해주셔서 이해가 잘 되었습니다.

미래사회에 살아갈 아이들에게 어떻게 접근해야 할지도 수업을 들으면서 조금이나마 감을 얻었습니다.

또한 교육이외의 과학적 이야기에는 관심이 없었는데 사회를 배웠다는 느낌이 드는 수업이었습니다.",rate5,2022.09.07
1491,"다함께 Green 미래 환경 교육, 기후위기에 대처하는 에코(ECO) 지식 토크쇼","기후위기가 생각보다 더 심각하고, 바로 오늘 지금부터 이를 줄이기 위해 노력해야 한다는 사실이 피부로 와닿았습니다. 재미있고 유익한 내용으로 구성하여 주셔서 감사하고, 수업 시간에도 아이들과 나누며 실천하도록 하겠습니다.",rate5,2022.09.07
1492,조병영의 문해력 수업,"그동안 책읽는것에만 치중했었는데, 아이들이 갈수록 정말 문해력이 떨어진다는 생각이 많이 들어 듣게 되었습니다.
선생님의 차분한 설명이 듣기 편하고 아이들 지도 방향을 잡는데 도움이 되었습니다",rate5,2022.09.07
1493,조병영의 문해력 수업,문해력에 대한 새로운 생각을 가지게 되었고 다양한 문해력 교육방법에 대해 알게 되는 기회가 되었습니다.,rate5,2022.09.06
1494,"4R'S로 키우는 힘, 기초학력교육","4r's로 키우는 힘, 기초학력교육 연수를 통해 4r's 기초학력교육, 학습부진 진단 및 선별, 관계형성 지도방법, 교과부진 지도방법 등에 대하여 다양한 정보를 얻고 학습할 수 있었습니다. 이 연수의 배움을 통하여 천천히 가는 학생들에게 적용, 해당 학생들이 성취감을 가질 수 있는 교육활동을 펼칠 수 있을 것이라는 기대를 해봅니다. 기초학습 부진학생 지도의 새로운 패러다임인 4r's지도법에 대하여 잘 배우고 갑니다. 감사합니다.",rate5,2022.09.06
1495,핵심만 콕! 수업에 바로 쓰는 메타버스,원격 수업에 메타버스를 활용해도 좋을 것 같네요^^,rate5,2022.09.06
1496,핵심만 콕! 수업에 바로 쓰는 메타버스,다양한 메타버스 플랫폼을 알 수 있어 좋았습니다. 그러나 이미 메타버스 플렛폼을 사용 중인 분이 듣기에는 다소 아쉬울 수 있을 것 같아요 맵제작이나 자주 겪는 문제상황 해결과 같은 자세한 내용의 연수도 생기면 좋겠습니다.,rate5,2022.09.06
1497,조병영의 문해력 수업,"문해력 교육에 대해 방향을 설정하지 못하고 있어 답답한 상황이었습니다.
이번 연수를 통해 문해력이라는 말의 정의부터 학생들을 위한 다양한 교육 방법을 습득할 수 있었습니다.
추후에도 관련하여 연수가 이어지면 좋겠습니다.
그리고 연수 듣는 분들은 교재도 꼭 사서 보시면 좋을 듯 합니다.
좋은 연수 감사합니다^^",rate5,2022.09.06
1498,조병영의 문해력 수업,"스마트폰을 손에서 놓지 않는 아이들을 보며 지금이 문해력에 관심을 가질 때라는 생각이 들어 신청하게 된 연수입니다.
연수를 들으며 문해력을 길러주기 위한 수업 내 노력들을 고민하게 되어 좋았습니다.
학교 현장의 선생님들의 목소리도 들을 수 있어서 좋았습니다.",rate4,2022.09.06
1499,정재승의 미래학교,"21세기의 아이들에게 20세기 교사가 19세기 교육방법으로 교육한다는 말을 되새기며 많은 반성을 하게 되었다. 아이들은 태어나면서부터 디지털 문명을 경험하고 지역간 나라간 벽을 허문 환경 속에서 살아가고 있는데, 학교는 아직까지도 진도표에 맞추어 교과 진도 나가기에 급급한 현실이 안타깝다. 과감한 교육과정 재구성을 통해 교과간 벽을 허물고 아이들에게 보다 많은 체험과 실패의 경험을 제공함으로써 우리 아이들에게 서로 협력하며 적극적으로 문제를 해결하도록 도와야겠다.",rate5,2022.09.06
1500,꿈과 자존감이 자라는 교실 속 직업놀이 진로교육,유익한 연수입니다,rate5,2022.09.05
1501,조병영의 문해력 수업,문해력이 놓아야 된다는 것을 알고는 있지만 막연했었는데 연수를 통해 문해력을 높이는 것이 아이들 학습에 얼마나 중요한지를 알게되었고 그런 분석을 통해 실질적인 도움이 되는 수업을 할 수 있을 것 같아 매우 도움이 된 연수였습니다.,rate5,2022.09.05
1502,"4R'S로 키우는 힘, 기초학력교육",과정이 알차고 좋았어요 재미있구~,rate5,2022.09.05
1503,"참쌤스쿨 그림교실, 교사가 최고의 콘텐츠다",많이 유익했습니다. 아이들에게 적용하기가 좋습니다,rate5,2022.09.05
1504,조병영의 문해력 수업,"문해력이란 무엇인가 문식성 독해능력 문해능력...문해력이 중요하다고 하여 EBS문해력 유치원부터 영상을 시청하면서 조병영 교수님을 알게 되었다. 조병영 교수님이 지은 책을 읽다가 어렵다고 느꼈는데 강원도교육청에서 지원하는 문해력수업 연수를 수강하면서 리터러시에 대해 아주 아주 조금은 발을 담그게 된 것 같다. 영상이 넘쳐나는 시대에 책을 읽는 것도 힘들고, 글을 읽고 이해하는 능력이 어려운 학생들을 보면서 저학년, 고학년 시기의 문해력이란 무엇일까에 대해 계속 고민하게 된다. 문해력이 성적에 영향을 주는 것만은 분명해 보인다. 성적 뿐 아니라, 개인이 살아가면서 계약서, 약복용서, 설명서 등등을 읽고 이해하지 못한다면 개인 삶의 질이 매우 떨어질 것이다. 문해력이 좋으면 학생들에게 나쁠 것이 없는 것 같다. 문해력에 대해 고민하시는 선생님들께 연수를 추천한다.",rate4,2022.09.05
1505,디지털 네이티브 아이들의 메타버스 세상,"추천합니다.

디지털 네이티브 아이들의 메타버스 세상",rate5,2022.09.05
1506,"학습격차, 차이를 넘어 함께 성장하기",평소 학습격차가 많이 나는 우리 반을 많이 걱정했는데 이 연수를 통해 어떻게 지도할지 길을 찾았습니다. 감사합니다.,rate5,2022.09.04
1507,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 학습지도,"1학년 담임을 십여년 만에 하게 되었습니다. 1학기 적응 과정이 험난한 것은 짐작했지만 기본생활습관, 기본학습태도가 전혀 없는 상황이 역시나 당황스럽더라고요. 경력이 부끄러워지는 순간이 여럿 떠오르네요. 2학기 개학을 하며 초심으로 돌아가고자 연수를 듣게 되었습니다. 다시 출발하는 마음으로 연수를 감상하니 유익하고 알찬 연수였습니다. 2학기 잘 보내겠습니다",rate5,2022.09.04
1508,읽고 쓰고 만드는 그림책 수업,"강사님의 많은 노하우를 전수 받아 바로 수업에 활용하기 좋아요.
저도 그림책 만들기까지 갈 수 있을지는 모르지만 마음의 준비와 강사님의 노하우로 도전해보겠습니다.",rate5,2022.09.04
1509,"다함께 Green 미래 환경 교육, 기후위기에 대처하는 에코(ECO) 지식 토크쇼",무조건적인 환경 위기에 대한 두려움을 떨쳐낼 수 있는 해결 방안을 모색해 볼 수 있는 나름의 유익한 시간이었다.,rate5,2022.09.03
1510,조병영의 문해력 수업,"교사로서 20년간 가르쳐 오면서 읽기 더딤 학생이 점점 많아지고 있다는 느낌을 갖게 됐는데,
이전에는 드러나지 않았지만 이제는 도움이 필요한 많은 아이들이 그래도 초반에 발견되고 있어 다행이라는 생각도 든다.
교육청 연수도 요즘 '읽기'에 대한 강조를 하고 있는데 그만큼 기초학력 신장을 위해서는 '읽기'가 학습에 있어서 정말 중요한 기본 도구라는 것이다. 이것을 어떻게 가르쳐야 할 것인가?
어떻게 책을 읽게 할 것인가? 어떻게 스스로 책을 찾아 읽게 하고 즐겁게 성장할 수 있는 독자가 되게 할 것인가?
이 연수는 이런 질문들에 대한 답이 되는 연수일 것이다.
미리보기를 통해 이 연수의 한 강좌를 잠깐 볼 때는 확신은 장담 못했지만
들으면 들을수록 잘 선택했다는 생각이 든다.
교사의 답답함을 왜 그런지 명쾌하게 설명해주고, 마음 한 구석의 짐을 덜어낼 수 있는 해결책도 제기해 주기 때문에
많은 교사들에게 강려히 추천한다.",rate5,2022.09.03
1511,미술 속 진짜 아이심리 사로잡기,"미술시간에 다양한 아이들의 심리에 대하여 잘 알 수 있었습니다.
다음미술시간에 아이들을 대하는 태도가 바뀔 것 같네요",rate5,2022.09.02
1512,허쌤의 짬짬이 교실놀이,교실에서 간단히 할 수 있는 교실놀이를 학급에서 활용하겠습니다.,rate5,2022.09.02
1513,정재승의 미래학교,너무나 참신해서 또 듣고 싶다.,rate5,2022.09.02
1514,"기초학력교육, 관계형성이 먼저다.",학급담임을 할때마다 기초학력이 저하된 학생이 있어서 가르치기가 막연하고 어려워서 연수를 신청했어요. 개인마다 다른 기초학력이 저하된 상태라 학생마다 적절한 수업설계가 필요했는데 좋은 연수를 배울 기회가 있어서 큰 도움이 되었어요. 감사합니다.,rate5,2022.09.02
1515,디지털 네이티브 아이들의 메타버스 세상,"매일 매시간 마다 시시각각 시대적 환경이 바뀌고 있는 현대사회에 적응하기 위해 학습하면 좋을 연수입니다.

디지털 네이티브 아이들의 메타버스 세상",rate5,2022.09.02
1516,핵심만 콕! 수업에 바로 쓰는 메타버스,"메타버스가 뭐지라는 막연한 생각으로 연수를 신청했는데
메타버스에 관하여 이해할 수 있는 기회가 되었습니다.",rate5,2022.09.02
1517,"다함께 Green 미래 환경 교육, 기후위기에 대처하는 에코(ECO) 지식 토크쇼","학교에서 이뤄지는 생태환경교육을 돌아보면 막막해지는 순간이 있습니다.
""왜, 채식급식해요?""
""왜, 플라스틱 쓰면 안 돼요?""
""왜, 전기를 아껴 써야 해요?""
고기가 탄소 배출량이 많다던가, 플라스틱은 썩지 않는다, 전기를 많이 쓰면 탄소 배출량이 많아진다 정도의 설명만 해주는 경우도 많았습니다. 그랬기 때문에 아이들은 생활 속 소비들을 인류의 멸종과 연관 짓지 못하고 반쪽자리 시켜서 하는 환경 캠페인을 하는 게 전부입니다.
이 연수를 듣고 나면 내 행동 기후 위기에 어떤 영향을 끼치는지 그 사이사이 모든 것들을 알 수 있습니다. 또한 최신의 연구 결과를 바탕으로 앞으로 닥쳐올 미래의 최악의 종말까지도 제시해 줍니다.
생태환경교육이 중요해지는 이 시점에서 선생님들께 꼭 추천해 주고 싶은 연수입니다.",rate5,2022.09.01
1518,"학습격차, 차이를 넘어 함께 성장하기",학습격차를 줄이기 위한 여러가지 방법들 잘 들었습니다. 적용이 중요하곘네요,rate5,2022.09.01
1519,뚝딱뚝딱 온앤오프 수업자료 만들기,"인디스쿨을 통해 여러 현장 선생님들의 수업 자료를 받아 도움받고 싶은데
어느 정도 저만의 수업자료를 만들고 싶은 욕심이 생겨
이 연수를 듣게 되었습니다.
몇가지 자료를 수업을 들으며 만들다 보니 흥미가 생기고
이를 활용한 응용자료도 만들게 되어 정말 좋았어요",rate5,2022.09.01
1520,"나도 재미있는 메이커교육(영상활용과 온, 오프라인 메이커활동)","수업 현장에서 학생들에게 흥미를 불러 일으킬 수 있는 자료를 만들고 싶고,
학생들과의 추억을 담을 수 있는 영상자료를 만들고 싶어 이 연수를 들었는데
맨 처음에는 조금 어렵고 버벅거렸지만 힘들어도 하다보니
얻어가는게 있네요 유익한 연수였습니다.",rate5,2022.09.01
1521,학습격차를 줄이기 위한 슬기로운 수업방안,"학습 현장에서 항상 느끼는 학생들간 학습격차!!
특히 수학시간에 계산 속도나 이해력에 따른 문제 해결 속도 격차 때문에 항상 고민합니다.
이런 계기로 이 연수를 신청하게 되었는데
강의를 통해 학생들의 학습격차로 인해 생기는 문제들을 조금이나마 해소시킬 수 있을거 같아
연수를 듣고 기분 좋았습니다.",rate5,2022.09.01
1522,온라인-오프라인 연계 수업 따라잡기,여러 곳의 선생님들을 초빙해서 교과목 별로 블렌디드 수업 사례를 알려주셔서 감사합니다. 많은 도움이 되었습니다.,rate5,2022.09.01
1523,함소아 한의원 김한빛 원장이 들려주는 우리아이 체질별 지도법,"내 아이도, 반 아이도 적용 가능한 알아두면 좋은 팁같은 연수였습니다. 괜찮았어요!",rate5,2022.09.01
1524,"참쌤스쿨 그림교실, 교사가 최고의 콘텐츠다","코로나가 유행하던 2020년 초반에 아이들과 원격수업에 활용하기 위해 들었던 연수입니다.
요새 워낙 다양한 콘텐츠로 아이들과 수업하는 시대라 들어두면 좋을 것 같습니다.",rate5,2022.09.01
1525,"학습부진, 천천히 함께 걷기","학습부진에 대해 학습장애와 구분하여 이해하고 어떻게 지도계획을 세우고 지도해야 하는지 알게 되었다
특히 읽기와 쓰기, 수학 장애의 특성과 교수방법을 구체적으로 알려주어 도움이 되었다",rate5,2022.08.31
1526,"4R'S로 키우는 힘, 기초학력교육","수세기가 늦은 친구들을 이해하게 되면서 한 걸음 물러나, 교사인 나에게도 쉼을 주게 됩니다.
천천히 익히는 친구가 있을 때 좀더 여유를 두고 지도하게 됩니다. 감사합니다.",rate5,2022.08.31
1527,설민석의 한국사능력검정시험[심화]-하,흐름을 잘 짚어주고 쉽게 이해하고 기억할 수 있도록 해주는 강의입니다. 너무 좋아요.,rate5,2022.08.31
1528,설민석의 한국사능력검정시험[심화]-상,역시 설명을 너무 재미있게 귀에 쏙쏙 들어오게 해주세요. 너무 좋아요.,rate5,2022.08.31
1529,핵심만 콕! 수업에 바로 쓰는 메타버스,비교적 쉬운 것들은 수업에 활용 할 수 있을 것 같아요 ^^,rate5,2022.08.31
1530,뚝딱뚝딱 온앤오프 수업자료 만들기,"배우고 싶었던 뚝딱뚝딱 온앤오프 수업 자료 만들기 연수~ 너무 유익했고 덕분에 많이 배웠습니다.
어렵다라고 느껴졌는데 이번 연수를 통해 이해하기 쉽게 설명해주셔서 현장에서 꼭 활용해봐야 겠다는
생각이 들었습니다. 알찬 연수 감사합니다~^^",rate5,2022.08.31
1531,"학습격차, 차이를 넘어 함께 성장하기","학습 격차는 교사로서 피할 수 없는 숙제인데
어떤 식으로 접근해야 하는지에 대해서 많은 정보를 얻을 수 있었습니다.
특히 초등학교 아이들은 격차가 장기화 되면 수업에 흥미를 잃게 될 수 있는데 이러한 상황에서 벗어날 수 있는 정보를 많이 모을 수 있어 좋았습니다.",rate5,2022.08.31
1532,핵심만 콕! 수업에 바로 쓰는 메타버스,잘 배웠습니다.,rate2,2022.08.31
1533,"기초학력의 첫걸음, 한글교육","기초 학력의 첫걸음, 한글교육 연수 추천합니다.~",rate5,2022.08.31
1534,"참쌤스쿨 그림교실, 교사가 최고의 콘텐츠다",수업중 그림을 접목하면 좋을것같습니다,rate5,2022.08.30
1535,쏭내관과 함께하는 랜선궁궐기행 종합편,역사를 보다 재미있게 배울 수 있는 좋은 시간이었습니다. 다른 선생님들께도 추천하고 싶습니다.,rate5,2022.08.30
1536,뚝딱뚝딱 온앤오프 수업자료 만들기,"최고의 연수였습니다!! 다른 선생님들께 강추합니다. 현직 선생님들이 강의해 주시니 더더욱 이해가 쏙쏙 되었습니다. 코로나19로 인해 선생님들에게 더더욱 필요해진 각종 온라인, 오프라인 수업자료 만들기 기능을 배울 수 있습니다. 그림 자료 다루기, PPT 뿐만 아니라, 동영상 제작, 동영상 자료에 더빙하기 등 고급 기술들까지 익힐 수 있어 굉장히 유익한 연수입니다. 예를 들면, 그림파일 종류별(jpg와 png) 차이점 같이 이미 쓰는 기능들이지만 그냥 지나칠 수 있는 정보들부터 멸치, 클로바 더빙, 캡컷 등 컴퓨터 기능이 익숙하지 않은 교사들에게는 다소 생소한 프로그램들까지 자세하게 실습하며 설명해 주시니 많은 도움이 되었습니다. 이런 연수는 조금 더 차시를 보완하여 30시간으로 개설해도 좋을 것 같습니다.",rate5,2022.08.30
1537,"기초학력의 첫걸음, 한글교육",1학년 지도를 할 때 한글에 대한 수준이 너무 커서 고민했었는데 어떻게 접근하고 지도할 지 알 수 있어 좋았습니다.,rate5,2022.08.30
1538,조병영의 문해력 수업,문해력과 관련된 연수를 찾다 본 연수를 들었습니다. 전반적인 문해력에 대한 이해와 더불어 개별 학습자의 특성을 기반으로 한 문해력 수업 방법을 고민해 볼 수 있는 시간이었습니다.,rate5,2022.08.30
1539,놀이와 질문이 함께하는 감동의 그림책 수업,"'놀이와 질문이 함께하는 감동의 그림책 수업' 연수 너무 좋았습니다.
이인희 강사님 진심으로 감사드립니다. 그리고 연수에 참여하신 8분 선생님, 늘 함께한 느낌입니다. 너무 감동적이어서 하나하나 빠짐없이 기록하며 들었습니다. 감사합니다.",rate5,2022.08.30
1540,정재승의 미래학교,미래학교 연수를 통해 현재 나의 모습을 뒤돌아보고 반성하게 하네요,rate4,2022.08.30
1541,뚝딱뚝딱 온앤오프 수업자료 만들기,"몰랐던 기능들을 알 수 .있고 익힐 수 있어서 많은 도움이 될듯합니다. 애써주신 강사님들께 감사드려요.
복습 수강이 가능했으면 좋겠습니다. 감사합니다.",rate5,2022.08.30
1542,학습격차를 줄이기 위한 슬기로운 수업방안,"마치 임용을 공부하는듯한 그런 ;;
초등수준에 맞는 교육방법인가 싶으면서도 다양한 수업방식을 제공함으로써
학생들이 쉽게 기초학력을 쌓아갈수 있도록 안내해줄수 있을것 같다.",rate5,2022.08.30
1543,놀이와 질문이 함께하는 감동의 그림책 수업,"이인희 선생님과 함께 한 30강의 그림책 놀이 수업!!~
진짜 한 강, 한 강 선생님의 땀과 사랑, 그리고 노력과 인내로 맺어진 결실이라 더욱 더 감동입니다. 선생님이 들려주는
시도 어쩜 그렇게 감동적일까요? 멋드러진, 또 사랑스럽게 들리는 기타 연주까지, 비록 선생님의 노래 실력이 소름돋게 잘
부르는 게 전혀 아니었지만 정말 그 누구보다도, 어떤 가수보다도 너무 감동적인 시간이었어요.... 한 강, 한 강 노트에 적고
너무 많이 들어 머리가 복잡해지는 것을 막으려고 조금씩 듣다보니 어느덧 종강 하루 전이네요..^^
알궁근적 본깨적~~ 이라는 리듬이 지금도 아련하게 들려오는 시간입니다.
알게 된 것을 통해 내가 깨달은 것을 생각해 보며 그것을 나의 삶에 적용하는 것이야말로 변화의 시작이겠죠?
아이들에게만 기적이 아니라 이 강의를 듣고 있는 지금 이 순간 저에게도 조금씩 기적이 싹트고 있음을 느끼며
아직 이 강의를 수강하지 않으신 선생님들께 강력 추천합니다!!~
감동과 사랑, 꿈, 희망, 모든 것을 경험하실 수 있을 것입니다!!~*^^* 좋은 강좌 열어주신 아이스크림 연수원에도 깊은 감사 드립니다.",rate5,2022.08.29
1544,"마을이 잇는 교육, 교육이 짓는 아이들 마을교육공동체(실무자편)",여러 사례등을 보여줘서 학습연구에 도움이 되었습니다.,rate5,2022.08.29
1545,온라인-오프라인 연계 수업 따라잡기,연수 내용이 다양한 교과에 걸쳐 나와서 좋았습니다.,rate5,2022.08.29
1546,정재승의 미래학교,미래사회에 적응할 수 있는 학생들을 위한 좋은 내용이 들어있는 연수였습니다,rate4,2022.08.27
1547,정재승의 미래학교,인간의 뇌가 가진 본래의 속성에 기반하여 미래가 된다고해도 모든것이 기계화되고 분절되고 기술집약 테크놀러지 시대가 되는 것이 아니라 오히려 그럴수록 인간은 서로 공감하고 협업하고 이해하고 존중하며 끊임없이 배우고 성장하려는 호기심을 길러야 한다는 말씀에 깊게 공감합니다.,rate5,2022.08.27
1548,똥손 교사도 할 수 있는 국어 수업 만들기,"잘 보았습니다.
많이 활용할 수 있을 것 같아요.
감사합니다~",rate5,2022.08.27
1549,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 생활지도,유익한 연수 참고 잘 하겠습니다.,rate5,2022.08.26
1550,"4R'S로 키우는 힘, 기초학력교육",막연히 알고 있었던 내용을 구체적인 사례를 통해 연수하는 것이 많이 도움되어서 좋았습니다.,rate5,2022.08.26
1551,"기초학력의 첫걸음, 한글교육",지도할 수 있는 구체적인 방법을 알려 주셔서 도움이 되었습니다.,rate5,2022.08.26
1552,정재승의 미래학교,옆반 선생님의 추천으로 강의를 듣게 되었습니다. 미래는 점점 변화하고 있는데 교사인 저의 인식이 바뀔 필요성이 있음을 생각해 보게 하는 연수였습니다. 미래를 살아가게 될 우리 아이들을 생각하며 연수를 들으면 좋을 거 같습니다.,rate5,2022.08.26
1553,조병영의 문해력 수업,"학생들의 문해력 향상을 위한 교원 전문성을 신장하는 연수로 강추합니다.
30여년 전 초임 교사 때에 이런 연수가 있었으면 학생 수업에 더 많은 효과를 누렸을텐데 하는 아쉬움을 느꼈습니다.
이제라도 연수를 받게 되어서 참 다행이라는 생각이 듭니다.
감사합니다.",rate5,2022.08.25
1554,뚝딱뚝딱 온앤오프 수업자료 만들기,강사분들도 친절하고 자료도 충실합니다. 현장에서 많은 도움이 될 듯합니다.,rate5,2022.08.25
1555,"4R'S로 키우는 힘, 기초학력교육","도시 지역에 근무하며 학생들과 공부를 하며 당연하지 않은 것을 모두가 잘 하니 당연하게 느끼던 나의 모습을 반성하고
초심으로 돌아가 교육과 학습지도의 기본을 다시 한번 확인할 수 있는 기회였습니다.",rate5,2022.08.25
1556,"다함께 Green 미래 환경 교육, 기후위기에 대처하는 에코(ECO) 지식 토크쇼","최근 기후위기에 대한 관심도 높일 수 있고
구성이나 내용면에서도 흥미로운 부분이 많았습니다.
내용도 어렵지 않고 설명도 쉬워서 아이들과 함께 보아도 좋겠다는 생각을 했습니다.",rate5,2022.08.25
